player,position
Clinton N'Jie,Unknown
Lewis Grabban,Unknown
Jose Luis Mato Sanmartn,Unknown
Isaac Success,Unknown
Matthew Pennington,Unknown
Ben Wynter,Unknown
Brian Lenihan,Unknown
Andros Townsend,MID
Jefferson Montero,Unknown
Olufela Olomola,Unknown
Jordon Mutch,Unknown
James McArthur,MID
David Jones,Unknown
Oscar dos Santos Emboaba Junior,MID
Matej Vydra,Unknown
Harrison Reed,MID
Michael Ledger,Unknown
Javier Manquillo,DEF
Kieran Trippier,DEF
Eliaquim Mangala,DEF
Harry Lewis,Unknown
Peter Crouch,FWD
Erik Lamela,MID
Marouane Fellaini,MID
Rudy Gestede,Unknown
Jon Flanagan,Unknown
Simon Mignolet,GK
Ryan Allsop,Unknown
Yaya Sanogo,Unknown
Victor Moses,DEF
Pedro Chirivella,Unknown
Marc Albrighton,MID
Harry Maguire,DEF
Andreas Pereira,MID
Johann Berg Gudmundsson,Unknown
David Marshall,Unknown
Alfred N'Diaye,Unknown
Serge Gnabry,MID
Mesut zil,MID
Oluwatosin Adarabioyo,Unknown
Sofiane Boufal,MID
Lloyd Isgrove,Unknown
Scott Arfield,Unknown
Dominic Calvert-Lewin,FWD
Demetri Mitchell,DEF
Eric Dier,DEF
Florin Gardos,Unknown
David Ospina,GK
Marcin Wasilewski,Unknown
Marcus Browne,Unknown
Lukasz Fabianski,GK
Gabriel Armando de Abreu,Unknown
Charlie Adam,Unknown
Max Gradel,Unknown
Bradley Guzan,Unknown
Marcus Rashford,MID
Aaron Wan-Bissaka,DEF
Sebastian Larsson,Unknown
Ryan Bertrand,DEF
Hctor Bellern,DEF
Brice Dja Djdj,Unknown
Morgan Schneiderlin,MID
Adam Lallana,MID
Shane Long,FWD
Marten de Roon,Unknown
Mateusz Hewelt,Unknown
Victor Wanyama,MID
Jan Kirchhoff,Unknown
Scott Dann,DEF
Declan Rice,MID
Ron-Robert Zieler,Unknown
Santiago Cazorla,MID
Rickie Lambert,Unknown
Leiva Lucas,Unknown
Alfie Mawson,DEF
Fernando Luiz Rosa,Unknown
Will Keane,Unknown
Andrew Robertson,DEF
Dimitri Payet,MID
Didier Ndong,Unknown
Valon Behrami,Unknown
Sergio Agero,FWD
Aleksandar Kolarov,Unknown
Raheem Sterling,MID
lvaro Negredo,Unknown
Jack Rose,Unknown
Jordon Ibe,Unknown
Joe Allen,Unknown
John Terry,DEF
