,name,position
0,Aaron Connolly,FWD
1,Aaron Cresswell,DEF
2,Aaron Mooy,MID
3,Aaron Ramsdale,GK
4,Abdoulaye Doucouré,MID
5,Aboubakar Kamara,MID
6,Adama Traoré,MID
7,Adam Forshaw,MID
8,Adam Lallana,MID
9,Adam Webster,DEF
10,Adrien Silva,MID
11,Adrián San Miguel del Castillo,GK
12,Ahmed El-Sayed Hegazy,DEF
13,Ainsley Maitland-Niles,DEF
14,Albian Ajeti,FWD
15,Aleksandar Mitrović,FWD
16,Alexandre Lacazette,FWD
17,Alexis Mac Allister,MID
18,Alex Iwobi,MID
19,Alex McCarthy,GK
20,Alex Oxlade-Chamberlain,MID
21,Alfie Mawson,DEF
22,Alireza Jahanbakhsh,MID
23,Alisson Ramses Becker,GK
24,Allan Marques Loureiro,MID
25,Allan Saint-Maximin,MID
26,Alphonse Areola,GK
27,Andreas Christensen,DEF
28,Andrew Robertson,DEF
29,Andriy Yarmolenko,MID
30,Andros Townsend,MID
31,André Filipe Tavares Gomes,MID
32,André-Frank Zambo Anguissa,MID
33,Andy Carroll,FWD
34,Angelo Ogbonna,DEF
35,Angus Gunn,GK
36,Anthony Gordon,MID
37,Anthony Knockaert,MID
38,Antonee Robinson,DEF
39,Antonio Rüdiger,DEF
40,Arthur Masuaku,DEF
41,Ayoze Pérez,MID
42,Bamidele Alli,MID
43,Barry Douglas,DEF
44,Benjamin Chilwell,DEF
45,Ben Davies,DEF
46,Ben Johnson,DEF
47,Ben Osborn,MID
48,Ben White,DEF
49,Bernardo Fernandes da Silva Junior,DEF
50,Bernard Anício Caldeira Duarte,MID
51,Bernd Leno,GK
52,Billy Gilmour,MID
53,Billy Sharp,FWD
54,Bobby Decordova-Reid,FWD
55,Brandon Pierrick,MID
56,Bruno André Cavaco Jordao,MID
57,Bukayo Saka,MID
58,Callum Hudson-Odoi,MID
59,Callum Robinson,FWD
60,Callum Wilson,FWD
61,Calum Chambers,DEF
62,Cameron Carter-Vickers,DEF
63,Cedric Kipre,DEF
64,Cenk Tosun,FWD
65,Charlie Austin,FWD
66,Cheikhou Kouyaté,MID
67,Che Adams,FWD
68,Christian Atsu,MID
69,Christian Benteke,FWD
70,Christian Fuchs,DEF
71,Christian Pulisic,MID
72,Christian Walton,GK
73,Chris Basham,DEF
74,Ciaran Clark,DEF
75,Connor Wickham,FWD
76,Conor Coady,DEF
77,Conor Townsend,DEF
78,Curtis Jones,MID
79,Cyrus Christie,DEF
80,Cédric Soares,DEF
81,César Azpilicueta,DEF
82,Dale Stephens,MID
83,Daniel Amartey,DEF
84,Daniel Castelo Podence,MID
85,Daniel Ceballos Fernández,MID
86,Danny Ings,FWD
87,Danny Rose,DEF
88,Danny Ward,GK
89,Dan Burn,DEF
90,Dara O'Shea,DEF
91,Darnell Furlong,DEF
92,Darren Randolph,GK
93,David Button,GK
94,David Luiz Moreira Marinho,DEF
95,David Martin,GK
96,David McGoldrick,FWD
97,Davinson Sánchez,DEF
98,Davy Pröpper,MID
99,DeAndre Yedlin,DEF
100,Declan Rice,MID
101,Demarai Gray,MID
102,Denis Odoi,DEF
103,Dennis Praet,MID
104,Diogo Jota,MID
105,Divock Origi,FWD
106,Dominic Calvert-Lewin,FWD
107,Dwight Gayle,FWD
108,Eberechi Eze,MID
109,Edward Nketiah,FWD
110,Emerson Palmieri dos Santos,DEF
111,Emile Smith Rowe,MID
112,Emiliano Martínez,GK
113,Emil Krafth,DEF
114,Enda Stevens,DEF
115,Eric Dier,DEF
116,Erik Lamela,MID
117,Ethan Ampadu,DEF
118,Ezgjan Alioski,DEF
119,Fabian Delph,MID
120,Fabian Schär,DEF
121,Fabio Henrique Tavares,MID
122,Fabio Silva,FWD
123,Fabián Balbuena,DEF
124,Fabricio Agosto Ramírez,GK
125,Federico Fernández,DEF
126,Felipe Anderson Pereira Gomes,MID
127,Fernando Marçal,DEF
128,Fikayo Tomori,DEF
129,Filip Benkovic,DEF
130,Florian Lejeune,DEF
131,Florin Andone,FWD
132,Francisco Casilla Cortés,GK
133,Fraser Forster,GK
134,Gabriel Teodoro Martinelli Silva,MID
135,Gabriel Magalhães,DEF
136,Gary Cahill,DEF
137,Gedson Carvalho Fernandes,MID
138,George Baldock,DEF
139,Georginio Wijnaldum,MID
140,Giovani Lo Celso,MID
141,Glenn Murray,FWD
142,Grady Diangana,MID
143,Granit Xhaka,MID
144,Gylfi Sigurdsson,MID
145,Hakim Ziyech,MID
146,Hal Robson-Kanu,FWD
147,Hamza Choudhury,MID
148,Harrison Reed,MID
149,Harry Kane,FWD
150,Harry Wilson,MID
151,Harry Winks,MID
152,Harvey Barnes,MID
153,Harvey Elliott,MID
154,Heung-Min Son,MID
155,Hugo Lloris,GK
156,Héctor Bellerín,DEF
157,Hélder Wander Sousa de Azevedo e Costa,MID
158,Ian Carlo Poveda-Ocampo,MID
159,Illan Meslier,GK
160,Isaac Hayden,MID
161,Issa Diop,DEF
162,Ivan Ricardo Neves Abreu Cavaleiro,MID
163,Jack Harrison,MID
164,Jack O'Connell,DEF
165,Jack Robinson,DEF
166,Jack Stephens,DEF
167,Jack Wilshere,MID
168,Jacob Murphy,MID
169,Jairo Riedewald,MID
170,Jake Livermore,MID
171,Jake Vokins,DEF
172,Jamaal Lascelles,DEF
173,Jamal Lewis,DEF
174,James Justin,DEF
175,James Maddison,MID
176,James McArthur,MID
177,James McCarthy,MID
178,James Milner,MID
179,James Rodríguez,MID
180,James Tomkins,DEF
181,James Ward-Prowse,MID
182,Jamie Shackleton,MID
183,Jamie Vardy,FWD
184,Jannik Vestergaard,DEF
185,Jan Bednarek,DEF
186,Japhet Tanganga,DEF
187,Jarrad Branthwaite,DEF
188,Jarrod Bowen,MID
189,Jason Steele,GK
190,Javier Manquillo,DEF
191,Jay-Roy Grot,MID
192,Jayden Bogle,DEF
193,Jean Michaël Seri,MID
